kodifikasi,nama,lokasi,kotamadya,kecamatan,kelurahan,luas,jenis
821040048,JH Cempaka Putih Barat XXVI C, Jl. Cempaka Putih Br. XXVI , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,600, Jalur Hijau Jalan 
21040013,JH Cempaka Putih Barat XXIV, Jl. Cempaka Putih Barat XXIV , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,1000, Jalur Hijau Jalan 
821040060,JH Cempaka Putih Barat XXVI B, Jl. Cempaka Putih Br. XXVI , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,450, Jalur Hijau Jalan 
21040085,JH Cempaka Putih Barat XIV, Jl Cempaka Putih Barat XIV , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,1000, Jalur Hijau Jalan 
21040004,JH Cempaka Putih Barat Raya, Jl Cempaka Putih Barat Raya , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,971, Jalur Hijau Jalan 
821040057,JH Cempaka Putih Barat XVIII, Jl. Cempaka Putih Br. XVIII , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,200, Jalur Hijau Jalan 
821040050,JH Cempaka Putih Barat VIIa/b, Jl. Cempaka Putih Br. VII a/b , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,600, Jalur Hijau Jalan 
21040014,JH Cempaka Putih Barat XXV, Jl. Cempaka Putih Barat XXV , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,1000, Jalur Hijau Jalan 
21040040,JH Cempaka Putih Timur III, Jl Cempaka Putih Timur III , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,325, Jalur Hijau Jalan 
21040076,JH Cempaka Putih Timur XI, Jl Cempaka Putih Timur XI , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,1000, Jalur Hijau Jalan 
21040049,JH Cempaka Putih Timur XXIV, Jl Cempaka Putih Timur XXIV , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,1000, Jalur Hijau Jalan 
821040039,JH Cempaka Putih Teng. XI, Jl. Cempaka Putih Teng. XI , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,600, Jalur Hijau Jalan 
21040022,JH Cempaka Putih Tengah Raya, Jl Cempaka Putih Tengah , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,6230, Jalur Hijau Jalan 
21040047,JH Cempaka Putih Timur XIV, Jl Cempaka Putih Timur XIV , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,1000, Jalur Hijau Jalan 
821040028,JH Cempaka Putih Tengah, Jl. Cempaka Putih Tengah , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,1200, Jalur Hijau Jalan 
21040070,JH Letjen Suprapto, Jl Letjen Suprapto , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,21048, Jalur Hijau Jalan 
