wilayah,kecamatan,kelurahan,nama_mini_market,nama_pemilik,alamat,luas_efektif_usaha,nomor_siup,nomor_tdp,nomor_uug,nomor_domisili,nomor_imb,nomor_slf,izin_operasional,jam_buka,jam_tutup,status_kepemilikan,jarak_dengan_pasar_tradisional,keterangan,,
Jakarta Barat,TAMBORA,Angke,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Angke Jaya XIII No. 19 RT.002/04,180 M,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,WFL,,
Jakarta Barat,TAMBORA,Angke,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Angke Jaya 28 RT.015/01,160 M,0025/PB/VII/  BPPT/2011,30.06.1.46. 01725,336/12/JB/ 2006,,,,,'07.00,'22.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Angke,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Angke Jaya No. 18 RT.005/06,180 M,0025/PB/VII/  BPPT/2011,30.06.1.46. 01725,47/3/JB/2007,,,,,'07.00,'22.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Angke,Alfamart,PT. Sumber Alfaria Trijaya,RW. 04,180 M,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Angke,Alfamart,PT. Sumber Alfaria Trijaya,RW.05,160 M,0025/PB/VII/  BPPT/2011,30.06.1.46. 01725,212/3/JB/ 2013,,,,,'07.00,'22.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Angke,Indomaret,PT. Indomarco Prismatama,Jl. Angke Jaya XIII No. 10 RT.011/05,160 M,00254-02/PB/P/1.824.271,09.01.1.46. 92196,171/1/JB/VI/2009,35/1.824.1/14 Tgl. 07/10/ 2014,02220/ IMB/2004 Tgl. 20/01/ 04,,,'07.00,'22.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Angke,Indomaret,PT. Indomarco Prismatama,Jl. Angke Jaya VIII No. 10/17 ,160 M,00254-02/PB/P/1.824.271,09.02.5.47. 34249 Tgl. 25/10/2013,482/6/JB/ 2013 Tgl. 14/06/ 2013,77/-1.824. 1/14 Tgl. 30/06/ 2014,1320/IMB/79 Tgl. 04/04/ 1979,,,'07.00,'22.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Angke,Indomaret,PT. Indomarco Prismatama,Jl. PTB. Angke No. 45 B RT.006/05,120 M,00254-02/PB/P/1.824.271,09.02.5.47. 34250 Tgl. 25/10/2013,232/6/JB/ 2012 Tgl. 05/06/ 2012,103/1.824.1/14 Tgl. 20/10/ 2014,,,,'07.00,'22.00,Sewa,> 500 M,WKT/KPD,,
Jakarta Barat,TAMBORA,Angke,Ceria Mart,,Jl. Samarasa I RT.008/05,120 M,,,,,,,,'07.00,'22.00,,> 500 M,WKC/WSN,,
Jakarta Barat,TAMBORA,Pekojan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Pejagalan I No. 20 RT.002/05,120 M,0025/PB/VII/  BPPT/2011,09.02.5.47. 33951,146/VIII/JB/ 2008,175/ -1.824.27,,,3743/-1.824.26 Tgl. 29-06-2012,'07.00,'22.00,Sewa,> 500 M,Wkt/  Wdg,,
Jakarta Barat,TAMBORA,Pekojan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Pejagalan I No. 77 A RT.002/03,140 M,0025/PB/VII/  BPPT/2011,09.02.5.47. 33952,241/I/DU/JB/11/2011,151/ -1.824.27,,,3743/-1.824.26 Tgl. 29-06-2012,'07.00,'22.00,Sewa,> 500 M,Wkd/ Wdg,,
Jakarta Barat,TAMBORA,Pekojan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Bandengan Utara I No. 45 RT.005/012,160 M,0025/PB/VII/  BPPT/2011,30.06.1.46. 01725,69/2/JB/2010,,,,,'07.00,'22.00,Sewa,> 500 M,Wsn,,
Jakarta Barat,TAMBORA,Pekojan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Bandengan Selatan No. 12 RT.006/05,160 M,0025/PB/VII/  BPPT/2011,09.02.5.47.3443,,,,,,'07.00,'22.00,Sewa,> 500 M,Wkt/  Wdg,,
Jakarta Barat,TAMBORA,Pekojan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Bandengan Selatan No. 45 RT.001/09,150 M,0025/PB/VII/  BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wkt/ Wdg,,
Jakarta Barat,TAMBORA,Pekojan,Indomaret,PT. Indomarco Prismatama,Jl. Pejagalan I No. 102 RT.014/05,170 M,00254-02/PB/P/1.824.271,09.01.1.46. 92196,137/4/JB/ 2014 Tgl. 01/04/ 2014,040/1.824. 27 Tgl. 07/03/ 2014,00621/ IMB/2005 Tgl. 17/01/ 2005,,4705/-1.824. 26 tgl. 31 Agustus 2012,'07.00,'22.00,Sewa,> 500 M,Wkt/ Wdg,,
Jakarta Barat,Kebun Jeruk,Sukabumi Selatan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Panjang RT.008/04,200,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,552/11/JB/ 2010,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Sukabumi Selatan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Panjang RT.006/04,180,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,325/12/JB/ 2006,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Sukabumi Selatan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Assirot RT.012/01,170,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,197/4/JB/ 2010,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Sukabumi Selatan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kebayoran Lama No. 233 A RT.010/01,180,0025/PB/VII/ BPPT/2011,09.02.5.47. 33932,196/I/DU/JB/11/2011 Tgl. 07/11/ 2011,104/1.824.51/VI/2012 Tgl. 18/06/ 2012,,,3743/-1.824. 26 Tgl. 29-08- 2012,'07.00,'22.00,Sewa,> 500 M,Wkt/ Wdg,,
Jakarta Barat,Kebun Jeruk,Sukabumi Selatan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kebayoran Lama RT.008/01,150,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,< 500 M,Wkt/ Wdg,,
Jakarta Barat,Kebun Jeruk,Sukabumi Selatan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Panjang RT.002/03,120,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wkt/ Wdg,,
Jakarta Barat,Kebun Jeruk,Sukabumi Selatan,Indomaret,PT. Indomarco Prismatama,Jl. Panjang Kampung Baru No. 99 RT.010/04,140,00254-02/PB/ P/1.824.271,09.02.5.47. 34312 Tgl. 25/10/2013,498/X/JB/ 2010 Tgl. 07/10/ 2010,159/1.824.51/VII/ 2014 Tgl. 17/07/ 2014,,,4705/-1.824. 26 Tgl. 31-08- 2012,'09.00,'21.00,Sewa,> 500 M,Kkt/ Kpd,,
Jakarta Barat,Kebun Jeruk,Sukabumi Selatan,Indomaret,PT. Indomarco Prismatama,Jl. Pahlawan Cidodol No. 12A RT.004/07,200,00254-02/PB/ P/1.824.271,09.01.1.46. 92196,909/11/JB/ 2013,110/1.824.51/V/2013 Tgl. 20/05/ 2013,,,,'09.00,'21.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Sukabumi Selatan,Indomaret,PT. Indomarco Prismatama,Jl. Assirot No. 6 A RT.006/01,160,00254-02/ PB/P/1.824. 271,09.01.1.46. 92196,93/I/DU/JB/ 9/2014 Tgl. 09/09/ 2014,185/1.824.51/IX/2014 Tgl. 22/09/ 2014,,,,'09.00,'21.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Sukabumi Selatan,Indomaret,PT. Indomarco Prismatama,Jl. Pos Pengumben No. 10 RT.005/06,150,00254-02/ PB/P/1.824. 271,09.01.1.46. 92196,502/X/JB/ 2010 Tgl. 14/10/ 2010,117/1.824.51/V/2013 Tgl. 22/05/ 2013,,,,'09.00,'21.00,Sewa,< 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Sukabumi Selatan,Alfa Midi,PT. Midi Utama Indonesia,Jl. Panjang Cidodol RT.008/04,160,0032/PB/VII/BPPMPT/ 2013 Tgl. 30/08/ 2013,30.06.1.46. 04463 Tgl. 31/07/2013,,,,,,'24 Jam,'24 jam,Sewa,< 500 M,Wkt/ Wdg,,
Jakarta Barat,Kebun Jeruk,Sukabumi Utara,Indomaret ,PT. Indomarco Prismatama,Jl. Raya Kebayoran Lama No. 26 RT.004/02,200,00254-02/ PB/P/1.824. 271,09.01.1.46. 92196,450/9/JB/ 2012 Tgl. 13/09/ 2012,147/1.824.54 Tgl. 04/09/ 2012,,,4705/-1.824.26 Tgl. 31-08-2012,'07.00,'22.00,Sewa,> 500 M,Wkt/ Wdg,,
Jakarta Barat,Kebun Jeruk,Sukabumi Utara,Indomaret ,PT. Indomarco Prismatama,Jl. Raya Kebon Jeruk RT.002/06,150,00254-02/ PB/P/1.824. 271,09.01.1.46. 92196,,96/1.824. 54 Tgl. 06/06/ 2014,,,,'07.00,'22.00,Sewa,> 500 M,Wkt/ Wdg,,
