provinsi,wilayah,kecamatan,kelurahan,kode_kantor,nama_kantor,jenis,alamat
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kalideres,Pegadungan,11830D1,LE Citragarden II,LE,Perum Citra Garden II Blok M RT002/RW012
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kalideres,Pegadungan,11830D2,LE Taman Surya,LE,Jl. Bambu Larangan RT015/RW004
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kalideres,Kalideres,11840A,Jakarta Barat Kalideres,KPCDK,Jl. Peta Selatan No. 16
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kalideres,Pegadungan,11840B,Jakarta Barat Citra Garden I,KPCDK,Komplek Citra Garden I Blok B No. 10
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kalideres,Semanan,11850A,Jakarta Barat Semanan,KPCDK,Jl. Raya Semanan (Kantor Kelurahan)
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Cilandak,Lebak Bulus,12000,Jakarta Selatan,KPRK,Jl. RS. Fatmawati No. 10
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Baru,Selong,12110A,Jakarta Selatan Walikota,KPCDK,Jl. Trunojoyo
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Baru,Selong,12110D1,LE Mabes Polri,LE,Gd. Mabes POLRI
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,12120A,Jakarta Selatan Gunung,KPCDK,Jl. Kyai Maja No. 41
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,12120D1,LE RS Pertamina Pusat,LE,Gd. RSPP
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Baru,Gandaria Utara,12140A,Jakarta Selatan Gandaria Utara,KPCDK,Jl. Haji Nawi Raya No. 1
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Baru,Pulo,12160A,Jakarta Selatan Darmawangsa,KPCDK,Jl. Dharmawangsa IV/12
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Baru,Rawa Barat,12180A,Jakarta Selatan Rawa Barat,KPCDK,Jl. Wolter Monginsidi No. 85
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Baru,Senayan,12190A,Jakarta Selatan Summit Mas Tower,KPCDK,Jl. Jendral Sudirman Kav. 61-62
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Baru,Senayan,12190D1,LE Artha Graha,LE,Gd. Artha Graha SCBD
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Baru,Senayan,12190D2,LE Medco,LE,Gd. Energy SCBD
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Baru,Senayan,12190D3,LE Mandiri Plaza Bapindo,LE,Gd. Bapindo
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Lama,Grogol Utara,12210A,Jakarta Selatan Grogol Utara,KPCDK,Jl. Tanah Baru I
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Lama,Grogol Selatan,12220A,Jakarta Selatan Grogol Selatan,KPCDK,Jl. Kubur Islam
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Lama,Cipulir,12230A,Jakarta Selatan Cipulir,KPCDK,Jl. Ciledug Raya No. 2 RT006/RW006
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,12240A,Jakarta Selatan Kebayoran Lama,KPCDK,Jl. Ciputat Raya No. 9
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Lama,Ulujami,12250A,Jakarta Selatan Ulujami,KPCDK,Jl. Raya Ulujami No. 47
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pesanggrahan,Petukangan Utara,12260A,Jakarta Selatan Petukangan,KPCDK,Jl. Kemajuan No. 5
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Lama,Pondok Pinang,12310A,Jakarta Selatan Pondok Pinang,KPCDK,Jl. Ciputat Raya No. 6
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Lama,Pondok Pinang,12310B,Jakarta Selatan Pondok Indah Mall,KPCDK,Jl. Metro Pondok Indah
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kebayoran Lama,Pondok Pinang,12310D1,LE Jakarta Selatan Pondok Indah,LE,Jl. Metro Alam III
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pesanggrahan,Bintaro,12330A,Jakarta Selatan Bintaro,KPCDK,Jl. Kesehatan No. 8
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Cilandak,Cilandak Barat,12430A,Jakarta Selatan Cilandak,KPCDK,Jl. Maritim No. 6
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Karang Tengah,Lebak Bulus,12440A,Jakarta Selatan Lebak Bulus,KPCDK,Jl. Karang Tengah Raya No. 11 B
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Cilandak,Pondok Labu,12450A,Jakarta Selatan Pondok Labu,KPCDK,Jl. Pinang II
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pasar Minggu,Pejaten Barat,12510A,Jakarta Selatan Pejaten,KPCDK,Jl. Pejaten Raya No. 4
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pasar Minggu,Pejaten Barat,12510D1,LE Nesle,LE,Gd. Arkadia
